search_location,name,address,available,slow_available,fast_available,detail_url,cached_at
서울 강북구,서울 강북구 미아뉴타운래미안트리베라1차아파트,서울 강북구 삼양로19길 25,33,32,1,https://chargecheck.kr/ev/station/data-PL032102,2026-08-27T08:24:53.227520+00:00
서울 강북구,미아 동부센트레빌,서울 강북구 숭인로7가길 37,7,7,0,https://chargecheck.kr/ev/station/data-PL032639,2026-08-27T08:24:53.227520+00:00
서울 강북구,서울 기산그린아파트,서울 강북구 월계로37길 137,4,4,0,https://chargecheck.kr/ev/station/data-PL031839,2026-08-27T08:24:53.227520+00:00
서울 강북구,경남아너스빌,서울 강북구 오패산로30길 30,3,3,0,https://chargecheck.kr/ev/station/data-PL001064,2026-08-27T08:24:53.227520+00:00
서울 강북구,서울 강북구 장미원시장 공영주차장,"서울 강북구 인수봉로78길 24 (수유동, 장미원시장 공영주차장)",2,0,2,https://chargecheck.kr/ev/station/data-BNBN0058,2026-08-27T08:24:53.227520+00:00
서울 강북구,서울 강북구 삼성화재수유사옥,서울특별시 강북구 도봉로 314,1,1,0,https://chargecheck.kr/ev/station/data-PIS00027,2026-08-27T08:24:53.227520+00:00
서울 강북구,서울 강북구 오패산로 190 (저압수용가),서울특별시 강북구 오패산로 190,1,1,0,https://chargecheck.kr/ev/station/data-SF002120,2026-08-27T08:24:53.227520+00:00
서울 강남구,서울 강남자곡아이파크1,서울 강남구 자곡로 175,22,22,0,https://chargecheck.kr/ev/station/data-PL031768,2026-08-27T08:44:49.048027+00:00
서울 강남구,강남신동아파밀리에3단지,서울 강남구 헌릉로590길 11,11,11,0,https://chargecheck.kr/ev/station/data-PL032820,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 롯데캐슬노블,서울 강남구 도곡로13길 19,9,8,1,https://chargecheck.kr/ev/station/data-PL031462,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 대치삼성APT,서울특별시 강남구 도곡로78길 22,8,8,0,https://chargecheck.kr/ev/station/data-PI796562,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 세곡푸르지오아파트,서울 강남구 자곡로 21,8,8,0,https://chargecheck.kr/ev/station/data-PL031760,2026-08-27T08:44:49.048027+00:00
서울 강남구,대치아이파크아파트,서울 강남구 선릉로 222,5,5,0,https://chargecheck.kr/ev/station/data-PL033275,2026-08-27T08:44:49.048027+00:00
서울 강남구,대치아파트,서울 강남구 개포로109길 5,5,5,0,https://chargecheck.kr/ev/station/data-PL033400,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 수서신동아아파트,서울특별시 강남구 광평로47길 17,5,5,0,https://chargecheck.kr/ev/station/data-PI808741,2026-08-27T08:44:49.048027+00:00
서울 강남구,강남데시앙파크,서울 강남구 헌릉로590길 63,4,4,0,https://chargecheck.kr/ev/station/data-PL032844,2026-08-27T08:44:49.048027+00:00
서울 강남구,경남아파트,서울 강남구 언주로 110,4,4,0,https://chargecheck.kr/ev/station/data-PL033017,2026-08-27T08:44:49.048027+00:00
서울 강남구,삼성래미안펜타빌아파트,서울 강남구 역삼로 309,4,4,0,https://chargecheck.kr/ev/station/data-PL032711,2026-08-27T08:44:49.048027+00:00
서울 강남구,상록수아파트,서울 강남구 광평로10길 15,4,4,0,https://chargecheck.kr/ev/station/data-PL032779,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 삼성동롯데아파트,서울특별시 강남구 학동로 432,4,4,0,https://chargecheck.kr/ev/station/data-PIS00074,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 삼성동현대아파트,서울특별시 강남구 학동로64길 14,4,4,0,https://chargecheck.kr/ev/station/data-PIS00090,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 해성2빌딩,서울특별시 강남구 테헤란로 508,4,4,0,https://chargecheck.kr/ev/station/data-PIS00066,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울강남 역삼아이파크1,서울 강남구 역삼로 307,4,4,0,https://chargecheck.kr/ev/station/data-EV020127,2026-08-27T08:44:49.048027+00:00
서울 강남구,강남힐스테이트에코,서울 강남구 자곡로 202,3,3,0,https://chargecheck.kr/ev/station/data-PL030369,2026-08-27T08:44:49.048027+00:00
서울 강남구,대청타워,서울 강남구 개포로 623,3,3,0,https://chargecheck.kr/ev/station/data-PL030408,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 래미안삼성2차아파트,서울특별시 강남구 선릉로130길 20,3,3,0,https://chargecheck.kr/ev/station/data-PI794588,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 역삼KB라이프타워,서울특별시 강남구 강남대로 298,3,3,0,https://chargecheck.kr/ev/station/data-PIS00010,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 강남구 해성빌딩,서울특별시 강남구 테헤란로 504,3,3,0,https://chargecheck.kr/ev/station/data-PIS00065,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 신영빌딩,서울 강남구 영동대로 731,3,3,0,https://chargecheck.kr/ev/station/data-PL031440,2026-08-27T08:44:49.048027+00:00
서울 강남구,서울 팍스타워,서울 강남구 언주로 609,3,3,0,https://chargecheck.kr/ev/station/data-PL031576,2026-08-27T08:44:49.048027+00:00
서울 강남구,역삼 푸르지오 시티,서울 강남구 논현로85길 52,3,3,0,https://chargecheck.kr/ev/station/data-PL030414,2026-08-27T08:44:49.048027+00:00
서울 강남구,렉서스 강남 전시장(엘엔티렉서스),"서울 강남구 영동대로 312(대치동, 엘앤티렉서스(주)LEXUS전시장)",2,0,2,https://chargecheck.kr/ev/station/data-CV004433,2026-08-27T08:44:49.048027+00:00
서울 강남구,포르쉐 센터 SSCL 대치서비스,"서울 강남구 역삼로 523(대치동, 포르쉐 대치 서비스센터)",2,0,2,https://chargecheck.kr/ev/station/data-CV004404,2026-08-27T08:44:49.048027+00:00
