vehicle_id,manufacturing_year,odometer_km,cycle_count,battery_health_percent,internal_resistance,charge_efficiency,remaining_capacity,charging_cycles_last_month,fast_charge_ratio,average_trip_distance,daily_distance,cooling_system_health,thermal_runaway_risk,voltage_imbalance,battery_stress_index,thermal_health_score,charging_quality_score,predicted_remaining_life_cycles,battery_failure,BMS_warning_count,capacity_loss_percent,vehicle_age_years
EV206194,2022.0,21585.0,92.0,96.51,0.3196,99.23,41.75,4.0,0.07,10.0,25.4,72.7,68.5,18.33,2.7,54.7,100.0,1075.0,0,3.0,3.49,3.98
EV185885,2020.0,92755.0,156.0,94.1,0.4224,97.19,84.78,6.0,0.245,20.4,54.5,74.5,56.8,13.57,10.8,70.7,76.8,1274.0,0,3.0,5.9,5.85
EV285449,2022.0,91665.0,214.0,77.8,0.5173,93.12,68.47,6.0,0.523,27.2,70.2,83.5,72.7,20.58,54.4,46.4,0.6,752.0,0,1.0,22.2,4.07
EV135476,2021.0,189316.0,689.0,60.72,0.6908,90.3,35.4,16.0,0.366,93.5,112.4,69.0,74.1,31.82,36.3,46.0,39.3,312.0,1,3.0,39.28,5.13
EV239510,2016.0,287503.0,966.0,63.28,0.7222,90.19,38.49,6.0,0.506,39.7,94.9,58.2,59.1,29.21,27.1,53.8,52.1,324.0,1,3.0,36.72,10.27
EV234749,2021.0,149045.0,218.0,91.42,0.4826,96.86,109.75,1.0,0.307,28.2,89.3,66.8,52.4,21.43,27.4,57.2,32.0,1145.0,0,2.0,8.58,5.26
EV160216,2017.0,271063.0,756.0,63.82,0.6315,94.36,44.42,11.0,0.403,78.1,105.5,55.8,64.7,34.19,41.3,57.3,50.9,486.0,1,3.0,36.18,8.91
EV283938,2015.0,9898.0,49.0,96.81,0.3978,94.92,45.82,1.0,0.33,5.4,7.4,64.2,45.9,9.31,33.8,60.2,74.2,1030.0,0,1.0,3.19,10.85
EV199355,2018.0,215590.0,518.0,72.16,0.6283,92.76,62.71,9.0,0.551,29.9,96.4,69.1,58.9,27.02,77.8,51.4,19.6,709.0,0,1.0,27.84,7.83
EV120217,2016.0,25065.0,105.0,90.24,0.4236,93.25,51.42,2.0,0.226,3.9,8.9,61.5,60.0,18.38,33.2,60.9,51.3,1249.0,0,3.0,9.76,10.09
EV250706,2017.0,157867.0,509.0,79.22,0.5063,94.29,48.83,10.0,0.412,38.3,59.2,55.3,59.2,26.98,26.7,56.9,0.0,808.0,1,2.0,20.78,9.09
