manufacturing_year,odometer_km,cycle_count,battery_health_percent,internal_resistance,charge_efficiency,remaining_capacity,charging_cycles_last_month,fast_charge_ratio,average_trip_distance,daily_distance,cooling_system_health,thermal_runaway_risk,voltage_imbalance,battery_stress_index,thermal_health_score,charging_quality_score,predicted_remaining_life_cycles,battery_failure
2016.0,41676.0,149.0,98.39,0.4172,97.68,73.15,2.0,0.093,4.9,16.0,63.0,44.9,4.5,0.0,71.1,75.8,1315.0,0
2017.0,23421.0,1.0,99.8,0.5063,95.99,72.82,2.0,0.41,2.7,8.1,63.2,45.4,19.0,37.5,71.9,37.1,1444.0,0
2020.0,98606.0,212.0,88.45,0.3828,94.54,65.26,7.0,0.151,8.7,29.8,50.3,68.2,18.33,0.4,49.6,50.6,869.0,0
2020.0,70520.0,162.0,87.97,0.4749,98.03,59.2,2.0,0.432,11.1,27.4,72.8,45.1,20.63,13.5,62.7,60.4,1185.0,0
2020.0,55400.0,214.0,85.95,0.5458,94.49,78.47,2.0,0.384,12.1,35.2,62.8,48.5,19.56,3.4,63.1,30.8,577.0,0
2018.0,14375.0,23.0,99.64,0.333,94.98,46.27,1.0,0.173,1.9,6.5,69.1,62.4,18.13,37.1,56.9,71.2,1168.0,0
2017.0,174617.0,322.0,85.01,0.4957,98.22,83.47,4.0,0.137,29.0,57.6,57.2,59.1,21.25,31.3,44.4,98.1,998.0,0
2019.0,40730.0,102.0,94.78,0.4828,96.26,73.79,5.0,0.221,20.4,24.3,78.3,49.3,12.13,49.7,56.1,64.6,1298.0,0
2022.0,37395.0,127.0,93.81,0.4353,95.03,42.71,2.0,0.198,13.7,23.3,78.3,46.5,17.97,8.1,61.9,73.1,1314.0,0
2015.0,27120.0,77.0,97.45,0.3436,98.75,43.06,1.0,0.123,3.5,8.0,66.3,57.2,13.59,17.8,60.5,53.1,1096.0,0
2023.0,39303.0,69.0,99.8,0.3873,98.81,71.87,6.0,0.03,31.1,44.9,100.0,51.4,3.72,0.1,61.0,100.0,1482.0,0
2023.0,75042.0,127.0,90.15,0.4092,97.78,72.5,2.0,0.399,29.9,75.8,82.2,63.0,10.99,34.0,49.2,21.8,941.0,0
2020.0,36860.0,144.0,87.03,0.4326,95.4,42.41,6.0,0.484,17.5,32.2,82.6,71.4,17.29,29.2,47.4,29.3,931.0,0
2017.0,57283.0,165.0,90.59,0.454,96.59,45.22,3.0,0.604,8.9,18.7,66.0,45.3,11.19,43.2,68.3,41.4,1030.0,0
2020.0,90507.0,213.0,85.46,0.4663,96.34,55.4,5.0,0.219,27.7,47.1,89.0,61.5,13.61,3.9,60.6,39.7,833.0,0
2019.0,150011.0,355.0,83.65,0.5064,95.65,73.94,4.0,0.265,24.1,74.8,68.4,62.0,28.13,20.7,51.5,65.9,970.0,0
2018.0,163674.0,450.0,74.14,0.6808,93.0,61.73,8.0,0.324,30.0,72.6,62.3,57.1,27.85,37.8,60.3,46.5,712.0,0
2021.0,112502.0,291.0,87.61,0.5329,93.44,76.15,7.0,0.22,27.1,78.1,87.7,53.6,15.31,39.5,55.5,66.7,1023.0,0
2020.0,32152.0,131.0,87.61,0.383,96.92,69.37,1.0,0.228,5.6,17.6,71.3,53.3,19.03,0.0,61.4,52.1,1015.0,0
2017.0,116649.0,376.0,79.88,0.601,94.94,46.98,10.0,0.374,18.3,40.3,71.7,64.8,27.15,35.3,56.4,29.0,913.0,0
2022.0,100813.0,319.0,87.61,0.5559,93.68,56.83,10.0,0.061,21.2,73.2,68.3,59.0,22.66,20.2,52.6,65.9,1036.0,0
2024.0,71411.0,327.0,81.22,0.5412,94.37,36.94,9.0,0.326,40.3,98.6,91.3,45.9,13.86,41.9,59.3,68.2,908.0,0
